"time","categoria","concepto","valor","revisado","C"
"01/01/1999","sector","11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",,,1
"01/01/1999","sector","21 Minería",3.043554,3.043554,0
"01/01/1999","sector","22 Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final",,0.472949,0
"01/01/1999","sector","23 Construcción",1.875071,1.875071,0
"01/01/1999","sector","31-33 Industrias manufactureras",161.823317,161.823317,0
"01/01/1999","sector","43 y 46 Comercio",20.138609,19.665975,0
"01/01/1999","sector","48 y 49 Transportes, correos y almacenamiento",3.623871,3.623871,0
"01/01/1999","sector","51 Información en medios masivos",0.419201,0.419201,0
"01/01/1999","sector","52 Servicios financieros y de seguros",0.241438,0.241438,0
"01/01/1999","sector","53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles",0.309931,0.309931,0
"01/01/1999","sector","54 Servicios profesionales, científicos y técnicos",0.993227,0.993227,0
"01/01/1999","sector","56 Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",0.922157,0.922157,0
"01/01/1999","sector","61 Servicios educativos",0,0,0
"01/01/1999","sector","62 Servicios de salud y de asistencia social",0,0,0
"01/01/1999","sector","71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",,,1
"01/01/1999","sector","72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas",5.099605,5.099605,0
"01/01/1999","sector","81 Otros servicios excepto actividades gubernamentales",,,1
"01/01/1999","sector","Confidencial",0.034675,0.0343599999999924,0
"01/01/1999","subsector","111 Agricultura",,,1
"01/01/1999","subsector","112 Cría y explotación de animales",0,0,0
"01/01/1999","subsector","113 Aprovechamiento forestal",0,0,0
"01/01/1999","subsector","115 Servicios relacionados con las actividades agropecuarias y forestales",0,0,0
"01/01/1999","subsector","211 Extracción de petróleo y gas",0,0,0
"01/01/1999","subsector","212 Minería de minerales metálicos y no metálicos, excepto petróleo y gas",3.043554,3.043554,0
"01/01/1999","subsector","213 Servicios relacionados con la minería",0,0,0
"01/01/1999","subsector","221 Generación, transmisión y distribución de energía eléctrica",,0.472949,0
"01/01/1999","subsector","222 Suministro de agua y suministro de gas por ductos al consumidor final",0,0,0
"01/01/1999","subsector","236 Edificación",0,0,0
"01/01/1999","subsector","237 Construcción de obras de ingeniería civil",,,1
"01/01/1999","subsector","238 Trabajos especializados para la construcción",1.53215,1.53215,0
"01/01/1999","subsector","311 Industria alimentaria",32.124859,32.124859,0
"01/01/1999","subsector","312 Industria de las bebidas y del tabaco",10.85807,10.85807,0
"01/01/1999","subsector","313 Fabricación de insumos textiles y acabado de textiles",0,0,0
"01/01/1999","subsector","314 Fabricación de productos textiles, excepto prendas de vestir",0.246887,0.246887,0
"01/01/1999","subsector","315 Fabricación de prendas de vestir",1.617901,1.617901,0
"01/01/1999","subsector","316 Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",,,1
"01/01/1999","subsector","321 Industria de la madera",,,1
"01/01/1999","subsector","322 Industria del papel",7.795236,7.795236,0
"01/01/1999","subsector","323 Impresión e industrias conexas",0,0,0
"01/01/1999","subsector","324 Fabricación de productos derivados del petróleo y del carbón",0,0,0
"01/01/1999","subsector","325 Industria química",19.697277,19.697277,0
"01/01/1999","subsector","326 Industria del plástico y del hule",0.085178,0.085178,0
